message_time_utc,cycle_date_utc,cycle_hour,model,alaskan_count,canadian_count,conus_count,mexican_count,caribbean_count,pacific_count,raw_message_id,raw_message_excerpt,message_hash
2025-08-26T15:14:00Z,2025-08-26,12,GFS,11,25,53,13,8,8,5149b6d985ffc0b6,53 CONUS...13 Mexican...8 Caribbean...and 8 Pacific stations available for ingest,5149b6d985ffc0b6
2025-08-27T13:33:00Z,2025-08-27,12,NAM,10,26,52,12,7,7,4cf6c1e19549d184,52 CONUS...12 Mexican...7 Caribbean...and 7 Pacific stations available for ingest,4cf6c1e19549d184
2025-08-27T15:10:00Z,2025-08-27,12,GFS,10,26,52,12,8,8,2493bf0164fba6df,52 CONUS...12 Mexican...8 Caribbean...and 8 Pacific stations available for ingest,2493bf0164fba6df
2025-08-28T13:36:00Z,2025-08-28,12,NAM,10,26,50,13,7,8,b5853cfef9776464,50 CONUS...13 Mexican...7 Caribbean...and 8 Pacific stations available for ingest,b5853cfef9776464
2025-08-28T15:21:00Z,2025-08-28,12,GFS,10,26,50,13,8,8,e953af350cf2ab92,50 CONUS...13 Mexican...8 Caribbean...and 8 Pacific stations available for ingest,e953af350cf2ab92
2025-08-29T13:50:00Z,2025-08-29,12,NAM,10,26,52,10,8,8,9c6e4620422d5fdb,52 CONUS...10 Mexican...8 Caribbean...and 8 Pacific stations available for ingest,9c6e4620422d5fdb
2025-08-29T15:13:00Z,2025-08-29,12,GFS,10,26,53,10,8,8,09e4b6da5594f899,53 CONUS...10 Mexican...8 Caribbean...and 8 Pacific stations available for ingest,09e4b6da5594f899
2025-08-30T13:38:00Z,2025-08-30,12,NAM,11,25,50,12,7,8,ea722642c4d30d24,50 CONUS...12 Mexican...7 Caribbean...and 8 Pacific stations available for ingest,ea722642c4d30d24
2025-08-30T15:13:00Z,2025-08-30,12,GFS,11,25,50,12,7,8,0d12ffc3d6ff4c8f,50 CONUS...12 Mexican...7 Caribbean...and 8 Pacific stations available for ingest,0d12ffc3d6ff4c8f
2025-08-31T01:33:00Z,2025-08-31,00,NAM,9,23,62,12,6,8,ed02e70392e905db,62 CONUS...12 Mexican...6 Caribbean...and 8 Pacific raobs available for ingest,ed02e70392e905db
2025-09-05T14:01:00Z,2025-09-05,12,NAM,11,25,52,11,7,8,037645290b2c5676,52 CONUS...11 Mexican...7 Caribbean...and 8 Pacific stations available for ingest,037645290b2c5676
2025-09-05T15:25:00Z,2025-09-05,12,NCEP,11,25,52,11,7,8,3c05cb7ff4cf0bc5,52 CONUS...11 Mexican...7 Caribbean...and 8 Pacific stations available for ingest,3c05cb7ff4cf0bc5
2025-09-07T01:37:00Z,2025-09-07,00,NAM,10,25,63,12,6,8,63718a3113cc889e,63 CONUS...12 Mexican...6 Caribbean...and 8 Pacific raobs available for ingest,63718a3113cc889e
2025-09-08T01:45:00Z,2025-09-08,00,NAM,10,25,63,10,5,8,d3a6860b9433429c,63 CONUS...10 Mexican...5 Caribbean...and 8 Pacific raobs available for ingest,d3a6860b9433429c
2025-09-08T13:49:00Z,2025-09-08,12,NAM,12,26,51,11,7,8,0ff3f35797a671e2,51 CONUS...11 Mexican...7 Caribbean...and 8 Pacific raobs available for ingest,0ff3f35797a671e2
2025-09-08T15:14:00Z,2025-09-08,12,GFS,12,26,51,13,8,8,91d1f5ff0c24f318,51 CONUS...13 Mexican...8 Caribbean...and 8 Pacific raobs available for ingest,91d1f5ff0c24f318
2025-09-09T13:53:00Z,2025-09-09,12,NAM,10,25,52,14,6,8,26268f923d76719c,52 CONUS...14 Mexican...6 Caribbean...and 8 Pacific raobs available for ingest,26268f923d76719c
2025-09-09T15:14:00Z,2025-09-09,12,GFS,10,25,53,14,6,8,a2a71a379d3a5c84,53 CONUS...14 Mexican...6 Caribbean...and 8 Pacific raobs available for ingest,a2a71a379d3a5c84
2025-09-10T14:08:00Z,2025-09-10,12,NAM,10,25,52,14,6,8,9a823f6d3e18d70d,52 CONUS...14 Mexican...6 Caribbean...and 8 Pacific raobs available for ingest,9a823f6d3e18d70d
2025-09-10T15:02:00Z,2025-09-10,12,GFS,10,25,54,14,6,8,db43a95440ff82e7,54 CONUS...14 Mexican...6 Caribbean...and 8 Pacific raobs available for ingest,db43a95440ff82e7
2025-09-11T14:18:00Z,2025-09-11,12,NAM,11,25,51,14,6,7,88e923681481ea92,51 CONUS...14 Mexican...6 Caribbean...and 7 Pacific raobs available for ingest,88e923681481ea92
2025-09-11T15:10:00Z,2025-09-11,12,GFS,11,25,51,14,6,7,f6f0393165599660,51 CONUS...14 Mexican...6 Caribbean...and 7 Pacific raobs available for ingest,f6f0393165599660
2025-09-12T13:55:00Z,2025-09-12,12,NAM,11,24,52,14,6,8,cff80f345ac97d07,52 CONUS...14 Mexican...6 Caribbean...and 8 Pacific raobs available for ingest,cff80f345ac97d07
2025-09-12T15:14:00Z,2025-09-12,12,GFS,11,25,52,14,6,8,f06145e90927e8ce,52 CONUS...14 Mexican...6 Caribbean...and 8 Pacific raobs available for ingest,f06145e90927e8ce
2025-09-13T01:26:00Z,2025-09-13,00,NAM,10,25,63,10,4,8,8a01cb9a72e70d26,63 CONUS..10 Mexican 4 Caribbean..and 8 Pacific stations available for ingest,8a01cb9a72e70d26
2025-09-15T13:45:00Z,2025-09-15,12,NAM,10,25,51,11,6,8,8b997c07ab07ed7d,51 CONUS...11 Mexican...6 Caribbean...and 8 Pacific stations available for ingest,8b997c07ab07ed7d
2025-09-15T15:15:00Z,2025-09-15,12,GFS,10,25,51,11,6,8,a20eb1062b654c87,51 CONUS...11 Mexican...6 Caribbean...and 8 Pacific stations available for ingest,a20eb1062b654c87
2025-09-16T01:56:00Z,2025-09-16,00,NAM,9,24,60,11,4,8,3f25d5d4b6e84fd8,60 CONUS...11 Mexican...4 Caribbean...and 8 Pacific stations available for ingest,3f25d5d4b6e84fd8
2025-09-17T01:38:00Z,2025-09-17,00,NAM,11,25,64,13,4,8,33fbf0cfd5758bae,64 CONUS...13 Mexican...4 Caribbean...and 8 Pacific raobs available for ingest,33fbf0cfd5758bae
2025-09-17T03:14:00Z,2025-09-17,00,GFS,11,25,64,13,4,8,1242891a72926e3e,64 CONUS...13 Mexican...4 Caribbean...and 8 Pacific raobs available for ingest,1242891a72926e3e
2025-09-18T01:36:00Z,2025-09-18,00,NAM,10,24,63,15,4,8,36913c155925a9ad,63 CONUS...15 Mexican...4 Caribbean...and 8 Pacific raobs available for ingest,36913c155925a9ad
2025-09-18T03:26:00Z,2025-09-18,00,GFS,10,24,64,15,4,8,7d1df154a3e334f1,64 CONUS...15 Mexican...4 Caribbean...and 8 Pacific raobs available for ingest,7d1df154a3e334f1
2025-09-18T13:47:00Z,2025-09-18,12,NAM,12,23,53,13,7,6,ebf1cafa17beb9a6,53 CONUS...13 Mexican...7 Caribbean...and 6 Pacific stations available for ingest,ebf1cafa17beb9a6
2025-09-18T15:11:00Z,2025-09-18,12,GFS,12,23,53,13,7,7,ed5d84271c6ea88a,53 CONUS...13 Mexican...7 Caribbean...and 7 Pacific stations available for ingest,ed5d84271c6ea88a
2025-09-19T01:32:00Z,2025-09-19,00,NAM,10,25,65,14,4,8,cdc59bac827fbce7,65 CONUS...14 Mexican...4 Caribbean...and 8 Pacific raobs available for ingest,cdc59bac827fbce7
2025-09-19T03:21:00Z,2025-09-19,00,GFS,10,25,67,14,4,8,07dda2c88cec8da5,67 CONUS...14 Mexican...4 Caribbean...and 8 Pacific raobs available for ingest,07dda2c88cec8da5
2025-09-19T13:46:00Z,2025-09-19,12,NAM,9,25,50,12,7,6,5ab5c4069e31f963,50 CONUS...12 Mexican...7 Caribbean...and 6 Pacific stations available for ingest,5ab5c4069e31f963
2025-09-19T15:19:00Z,2025-09-19,12,GFS,9,25,51,12,7,6,3c5950b52331c4d1,51 CONUS...12 Mexican...7 Caribbean...and 6 Pacific stations available for ingest,3c5950b52331c4d1
2025-09-20T13:47:00Z,2025-09-20,12,NAM,8,25,51,11,6,7,5ad23f16833bf1e8,51 CONUS...11 Mexican...6 Caribbean...and 7 Pacific raobs available for ingest,5ad23f16833bf1e8
2025-09-21T13:47:00Z,2025-09-21,12,NAM,10,25,49,11,6,5,2b30fcd573e2453e,49 CONUS...11 Mexican...6 Caribbean...and 5 Pacific stations available for ingest,2b30fcd573e2453e
2025-09-21T15:13:00Z,2025-09-21,12,GFS,10,25,49,11,6,7,4dd5b5766df8434f,49 CONUS...11 Mexican...6 Caribbean...and 7 Pacific stations available for ingest,4dd5b5766df8434f
2025-09-22T13:49:00Z,2025-09-22,12,NAM,10,24,49,11,7,7,18a88804f9e3b790,49 CONUS...11 Mexican...7 Caribbean...and 7 Pacific raobs available for ingest,18a88804f9e3b790
2025-09-22T15:17:00Z,2025-09-22,12,GFS,10,25,51,11,7,7,e81862c95d31ae2d,51 CONUS...11 Mexican...7 Caribbean...and 7 Pacific raobs available for ingest,e81862c95d31ae2d
2025-09-24T13:32:00Z,2025-09-24,12,NCEP,11,24,49,13,7,7,1dd5c47a3c15a105,49 CONUS..13 Mexican 7 Caribbean..and 7 Pacific stations available for ingest,1dd5c47a3c15a105
2025-09-24T15:10:00Z,2025-09-24,12,GFS,11,24,50,13,7,7,9146f8a642947ba8,50 CONUS..13 Mexican 7 Caribbean..and 7 Pacific stations available for ingest,9146f8a642947ba8
2025-09-25T02:44:00Z,2025-09-25,00,NAM,10,26,65,14,5,8,f77f2a1193019df2,65 CONUS...14 Mexican...5 Caribbean...and 8 Pacific stations available for ingest,f77f2a1193019df2
2025-09-25T03:21:00Z,2025-09-25,00,GFS,10,26,66,14,5,8,1ea00f3bb4d25320,66 CONUS...14 Mexican...5 Caribbean...and 8 Pacific stations available for ingest,1ea00f3bb4d25320
2025-09-26T03:19:00Z,2025-09-26,00,GFS,11,25,65,15,4,8,3a964b72bc71d973,65 CONUS...15 Mexican...4 Caribbean...and 8 Pacific stations available for ingest,3a964b72bc71d973
2025-09-26T13:26:00Z,2025-09-26,12,NCEP,12,24,50,12,5,8,fd7b933b4af9fa47,50 CONUS..12 Mexican 5 Caribbean..and 8 Pacific stations available for ingest,fd7b933b4af9fa47
2025-09-27T13:23:00Z,2025-09-27,12,NCEP,12,22,48,12,6,9,347cea07a136e887,48 CONUS..12 Mexican 6 Caribbean..and 9 Pacific stations available for ingest,347cea07a136e887
2025-09-28T01:38:00Z,2025-09-28,00,NAM,10,25,63,13,5,9,e03e925647bddcdc,63 CONUS...13 Mexican...5 Caribbean...and 9 Pacific stations available for ingest,e03e925647bddcdc
2025-09-28T03:18:00Z,2025-09-28,00,GFS,10,25,64,13,5,9,955e20aafd91b308,64 CONUS...13 Mexican...5 Caribbean...and 9 Pacific stations available for ingest,955e20aafd91b308
2025-09-29T02:04:00Z,2025-09-29,00,NAM,9,24,65,12,5,9,79a0ea0d09437305,65 CONUS...12 Mexican...5 Caribbean...and 9 Pacific stations available for ingest,79a0ea0d09437305
2025-09-29T03:17:00Z,2025-09-29,00,GFS,9,24,65,12,5,9,98b33e8389d060bb,65 CONUS...12 Mexican...5 Caribbean...and 9 Pacific stations available for ingest,98b33e8389d060bb
2025-10-01T03:17:00Z,2025-10-01,00,GFS,10,27,63,13,5,9,4448fd177d099b16,63 CONUS...13 Mexican...5 Caribbean...and 9 Pacific stations available for ingest,4448fd177d099b16
2025-10-02T13:36:00Z,2025-10-02,12,NAM,12,26,49,12,5,9,64f52ca7a27c180f,49 CONUS...12 Mexican...5 Caribbean...and 9 Pacific raobs available for ingest,64f52ca7a27c180f
2025-10-03T03:13:00Z,2025-10-03,00,GFS,10,27,62,14,4,9,a7e4aa33f726b7d6,62 CONUS...14 Mexican...4 Caribbean...and 9 Pacific raobs available for ingest,a7e4aa33f726b7d6
2025-10-03T13:53:00Z,2025-10-03,12,NAM,12,26,51,13,7,9,2248ce3ae5227f29,51 CONUS...13 Mexican...7 Caribbean...and 9 Pacific raobs available for ingest,2248ce3ae5227f29
2025-10-04T03:15:00Z,2025-10-04,00,GFS,09,28,62,12,4,9,ed613982fd466971,62 CONUS...12 Mexican...4 Caribbean...and 9 Pacific raobs available for ingest,ed613982fd466971
2025-10-04T13:35:00Z,2025-10-04,12,NAM,12,24,49,11,6,8,c629eb519d2dbe56,49 CONUS...11 Mexican...6 Caribbean...and 8 Pacific raobs available for ingest,c629eb519d2dbe56
2025-10-05T03:15:00Z,2025-10-04,12,GFS,10,26,63,12,4,9,c1a9ddbe13cddd0f,63 CONUS...12 Mexican...4 Caribbean...and 9 Pacific raobs available for ingest,c1a9ddbe13cddd0f
2025-10-05T01:39:00Z,2025-10-05,00,NAM,10,26,63,12,4,9,3c75c4d6fdbdd07a,63 CONUS...12 Mexican...4 Caribbean...and 9 Pacific raobs available for ingest,3c75c4d6fdbdd07a
